ND,DC,EC,LC,CC,BC,FR
,0.0008264462809917355,0.0011305256156809262,0.2531343447631592,0.13083910034602075,0.2545521894364205,0
" Chemelli Rm, 1999, CELL",0.00010330578512396694,0.001729174014239159,0.0,0.10016141715988576,0.0,0
" Rothblum Ed, 1986, J COUNS PSYCHOL",0.00010330578512396694,3.685907379125136e-16,0.0,0.08238999063750106,0.0,0
" Libet B, 1983, BRAIN",0.00010330578512396694,0.0011701646196940931,0.0,0.10018214936247723,0.0,0
" Huffman Km, 2008, METABOLISM",0.00010330578512396694,6.447438290559177e-13,0.0,0.09379299653120943,0.0,0
" Ribeiro Ap, 2011, CLIN BIOMECH",0.00010330578512396694,0.0009108802099984967,0.0,0.10013862164566652,0.0,0
" Karagoz H, 2017, ACTA MEDICA MEDITERR",0.00010330578512396694,0.003230869208017972,0.0,0.10142710450763846,0.0,0
" Duzel E, 2010, CURR OPIN NEUROBIOL",0.00010330578512396694,0.0011701646196940931,0.0,0.10018214936247723,0.0,0
" Yang Sn, 2016, PLOS ONE",0.00010330578512396694,1.7493118244864906e-09,0.0,0.10169135413383759,0.0,0
" Reilly Meredith L, 2012, J DIABETES SCI TECHNOL",0.00010330578512396694,2.51092473024653e-10,0.0,0.10117902834685175,0.0,0
" Swan Sh, 2010, INT J ANDROL",0.00010330578512396694,0.0013727269699739014,0.0,0.10018629683295384,0.0,0
" Sari I, 2015, KARDIOL POL",0.00020661157024793388,6.39266903063722e-18,0.00039544160208025014,0.0787593770849267,0.0004230275533217275,0
" Guowei Ye, COMP ANAL 4 IMAGIN",0.00010330578512396694,2.3457208849409686e-05,0.0,0.09106302916274694,0.0,0
" Fujikura K, 2015, SCI REP-UK",0.00010330578512396694,2.904898677812959e-13,0.0,0.09587955625990491,0.0,0
" Wang Y, 2014, PLOS ONE",0.00010330578512396694,5.080751825633988e-22,0.0,0.0670787482329462,0.0,0
" Balta S, 2014, INTERNAL MED",0.00010330578512396694,1.2895027332876562e-15,0.0,0.0903997011580127,0.0,0
" Chen J, 2012, CHIN SPORT COACHES",0.00010330578512396694,3.044321825835468e-08,0.0,0.07842755983342245,0.0,0
" Kearon C, 2012, AM COLL CHEST PHYS S",0.00010330578512396694,5.029992243336008e-22,0.0,0.06683421248860781,0.0,0
" Yuksel S, 2009, TURK KLIN TIP BILIM",0.00010330578512396694,5.412525893193071e-10,0.0,0.08949207699277037,0.0,0
" Ciprandi G, 2009, ALLERGY",0.00010330578512396694,3.3418484911399326e-28,0.0,0.05428199721860841,0.0,0
" Andersen Mh, 2005, CLIN TRANSPLANT",0.00010330578512396694,6.991690538258038e-19,0.0,0.07109492053233056,0.0,0
" Zhu Lihua, 2016, HUNAN J TRADITIONAL",0.00010330578512396694,9.971138252655747e-07,0.0,0.09033727159042126,0.0,0
" Elghblawi Ebtisam, 2007, BR J NURS",0.00010330578512396694,2.956384502351198e-13,0.0,0.0952680891268404,0.0,0
" Gayret Ob, 2016, IRAN J PEDIATR",0.00010330578512396694,5.705075994727746e-19,0.0,0.0746487345188704,0.0,0
" Moscatelli F, 2017, ACTA MEDICA MEDITERR",0.0027892561983471073,0.06206458035023616,0.0004851767186283322,0.1074171068400728,0.0005000923489916435,0
" Ebisuno Y, 2010, BLOOD",0.00010330578512396694,4.1938570208940326e-21,0.0,0.06821801575779786,0.0,0
" Krol J, 2010, NAT REV GENET",0.00010330578512396694,4.571656822980043e-19,0.0,0.06603541899746228,0.0,0
" Wang Xy, 2011, CLIN EXP DERMATOL",0.00010330578512396694,2.016804069340084e-06,0.0,0.08439112846980053,0.0,0
" Weigand K, 2007, TRIALS",0.00010330578512396694,6.756304388777489e-19,0.0,0.07782726848799627,0.0,0
"Milanova Mh1, 2017, ACTA MEDICA MEDITERR",0.0021694214876033058,8.399457857320796e-20,0.004128175593578668,0.07324621472945057,0.004128175593578668,0
" Da Costa Jspb, 2014, DERMATOL SURG",0.00010330578512396694,4.657995247026551e-10,0.0,0.1133038368799307,0.0,0
" Mayda Df, 2010, J STROKE CEREBROVASC",0.00010330578512396694,1.1149971419462204e-12,0.0,0.09575246800007914,0.0,0
