ND,DC,EC,LC,CC,BC,FR
"Brito Ad1, 9999, INT J ELEC ENG EDUC",0.004326507066628208,0.017669140216531005,0.0112262914677882,0.12296942611903242,0.011101087995187628,0
"Xiao J1, 9999, INT J ELEC ENG EDUC",0.0027401211421978653,1.8204245539209172e-09,0.005185443216420084,0.09693563719733825,0.005185443216420084,0
"Donuk A1, 2020, INT J ELEC ENG EDUC",0.004326507066628208,3.207863326577584e-10,0.008347689498783756,0.08875633608110184,0.008347689498783756,0
"Khubalkar S1, 2020, INT J ELEC ENG EDUC",0.00504759157773291,5.004841479565667e-11,0.009783410051400127,0.0772366779540189,0.009783410051400127,0
"Tripathy D1, 9999, INT J ELEC ENG EDUC",0.004038073262186328,1.6386693230317019e-09,0.007773110056529781,0.09879181626488859,0.007773110056529781,0
"Mane Jj1, 9999, INT J ELEC ENG EDUC",0.004038073262186328,1.289418061680514e-05,0.01071710954878173,0.10438055095589342,0.010294982429418462,0
"Al-Ahdal Aamh1, 9999, INT J ELEC ENG EDUC",0.006201326795500432,0.0001110132911686955,0.04305062973964999,0.10262254321572342,0.04230780737594006,0
"Cao Jj21, 9999, INT J ELEC ENG EDUC",0.0027401211421978653,9.062303625031651e-07,0.003350866907059141,0.10717156105100464,0.0033118081023647446,0
"Zhu Ry1, 9999, INT J ELEC ENG EDUC",0.002019036631093164,1.1672358994648548e-10,0.0037463944214331155,0.07747659165567945,0.0037463944214331155,0
"Hong H1, 9999, INT J ELEC ENG EDUC",0.001009518315546582,1.211548748765379e-07,0.011588149174692327,0.12062067285947883,0.010998437593023602,0
"Prasad N1, 9999, INT J ELEC ENG EDUC",0.003028554946639746,3.1470201303917266e-06,0.017174135418878855,0.10367512933225681,0.017730384197433835,0
"Shen Dn21, 9999, INT J ELEC ENG EDUC",0.0017306028266512834,2.920445940463979e-08,0.0031704836822309007,0.09175841626085116,0.0031704836822309007,0
"Bu Wp1, 9999, INT J ELEC ENG EDUC",0.003028554946639746,1.259198411726347e-07,0.01719827641976475,0.11780095817335462,0.01719827641976475,0
"Chakravarthi Ss1, 9999, INT J ELEC ENG EDUC",0.003172771848860686,5.719594703642786e-06,0.007768017199598851,0.1257754398693996,0.00815472085902237,0
"He H21, 9999, INT J ELEC ENG EDUC",0.0038938563599653876,0.0002555013593903891,0.011765020009476452,0.126031480606347,0.011548646334354953,0
"Rani Bs1, 9999, INT J ELEC ENG EDUC",0.007355062013267954,1.707761479382528e-06,0.022202870779008475,0.12041121105824332,0.021396132386904427,0
"Xu Jh1, 9999, INT J ELEC ENG EDUC",0.001009518315546582,1.5362402612772094e-08,0.0017299787812067966,0.10391128427993407,0.0017299787812067966,0
"Zine O1, 2019, INT J ELEC ENG EDUC",0.003172771848860686,3.515086342021477e-07,0.005802117798905103,0.10316917125427763,0.005796924090868273,0
"Zhao R1, 9999, INT J ELEC ENG EDUC",0.002163253533314104,3.7301934955197325e-10,0.0040342873864897735,0.0749265214384509,0.0040342873864897735,0
"Gao C1, 9999, INT J ELEC ENG EDUC",0.004326507066628208,4.3998424769876456e-08,0.008347689498783756,0.10618683001531394,0.008347689498783756,0
"Rani P1, 9999, INT J ELEC ENG EDUC",0.004470723968849149,6.043476241519421e-08,0.025422704062006668,0.11013341804320204,0.02537794572965705,0
"Soni S1, 9999, INT J ELEC ENG EDUC",0.004182290164407268,1.346232224081107e-07,0.014347987417934652,0.1184813068142984,0.014182442088338413,0
"Donadel Cb1, 2018, INT J ELEC ENG EDUC",0.0012979521199884625,1.0036684889296455e-05,0.002157164204557111,0.11048438495857234,0.0022033100273218037,0
"Ma Ms1, 9999, INT J ELEC ENG EDUC",0.00504759157773291,1.8576640781177207e-05,0.009783410051400127,0.12426968708555862,0.009783410051400127,0
