ND,DC,EC,LC,CC,BC,FR
"Srividya M1, 2018, J MED SYST",0.003044234592445328,6.985998526345812e-07,0.01666801605530819,0.1400663087271683,0.015406791373461945,0
"Kharazmi P1, 2018, J MED SYST",0.002112326043737574,1.0010151630470295e-06,0.009112810044298652,0.13960951662286522,0.008553662986920745,0
"Maragatham G1, 2019, J MED SYST",0.003914015904572564,5.542989518547453e-07,0.011745606314369855,0.1382663448240317,0.011343972081100776,1
"Min Sd1, 2018, J MED SYST",0.0024229622266401588,3.664666105702196e-12,0.004716242773245584,0.09175012682904585,0.004716242773245584,0
"Vijay Saa1, 2018, J MED SYST",0.0018016898608349899,0.00048581001644833194,0.00770631568596016,0.13910518446820094,0.008900668496156254,0
"Vargas Br1, 2019, J MED SYST",0.0008076540755467196,2.4033153654718617e-09,0.0013908873247718346,0.0976562736996657,0.001382512222822111,0
"Chowdhury Dp1, 2018, J MED SYST",0.006212723658051689,2.8161149667872437e-06,0.013347615485760276,0.1371494789580866,0.01338734221769627,0
"Sousa-Pinto B1, 2018, J MED SYST",0.0018016898608349899,1.6333084010726114e-12,0.0034762070633051643,0.09071490968523685,0.0034762070633051643,0
"Yi Hb1, 2019, J MED SYST",0.0027335984095427433,1.5822213738074034e-06,0.005502384971670388,0.1253045813709081,0.005335779399190031,0
"Zhou Lj1, 2018, J MED SYST",0.0019259443339960237,0.00017398255570806663,0.0035510844356156615,0.12976773059651556,0.0036159938986871447,0
"Saba T1, 2019, J MED SYST",0.004224652087475148,1.1396796428652756e-05,0.03786874405010794,0.15125118634830245,0.04427503407235907,0
"Garcia Y1, 2019, J MED SYST",0.0012425447316103378,5.173072781813746e-06,0.004458148333610061,0.14282291768338673,0.003976943652230999,0
"Mohammed Ki1, 2019, J MED SYST",0.015718190854870775,0.30893306455159675,0.044268048763322125,0.16041299169830878,0.05487806725401789,0
"Cheung Dst1, 2019, J MED SYST",0.001677435387673956,4.364757622056979e-12,0.0040448189831291635,0.08855682524661777,0.00370597976910008,0
"Ramani Dr1, 2019, J MED SYST",0.0036655069582504965,3.150102793910607e-08,0.00880186056377704,0.12302706503710838,0.008623500803361482,0
"Rajeev R1, 2019, J MED SYST",0.003541252485089463,6.989962467859718e-07,0.023152180294640078,0.13587364831213122,0.0227011930647243,0
"Alonso Sg1, 2019, J MED SYST",0.004224652087475148,4.062990701151337e-10,0.00916145825098949,0.10039231340165033,0.008400338439760397,0
"Liang P1, 2019, J MED SYST",0.0006212723658051689,2.5994800247084633e-09,0.001118012336048944,0.11573944244306865,0.001118012336048944,0
"Wutthisirisart P1, 2018, J MED SYST",0.0025472166998011924,1.2869686497539925e-06,0.005886862173674588,0.10174527019766244,0.005912991739717669,0
"Ruisoto P1, 2019, J MED SYST",0.0016153081510934392,4.206139585770328e-17,0.0031040458090228432,0.07217904852444608,0.0031040458090228432,0
"Haider Ns1, 2019, J MED SYST",0.002112326043737574,1.3482971522285254e-07,0.0076282090056201445,0.13431353732925008,0.006911997470550304,0
"Zhang Xh1, 2019, J MED SYST",0.0013667992047713717,1.1373130478451719e-08,0.00227317565477198,0.11641581623427816,0.0022592303472679645,0
"Hussien Hm1, 2019, J MED SYST",0.007455268389662027,0.06489633555202841,0.03799160078921006,0.15277290027430024,0.04612675466374016,0
"Crepaldi Ny1, 2018, J MED SYST",0.002360834990059642,7.528926920656666e-07,0.004523503315965853,0.11268473337487137,0.0045221237093545094,0
"Alsalem Ma21, 2018, J MED SYST",0.012549701789264412,0.13178231143309635,0.04751267749989813,0.16437404899768185,0.05588022436773095,0
"Albahri As1, 2018, J MED SYST",0.02037773359840954,0.3483733502257118,0.08827712094624024,0.15981095920332808,0.10265023128441182,0
"Liu Dy1, 2018, J MED SYST",0.0019259443339960237,0.0007240309915583935,0.00823039904267452,0.1526338248542032,0.007923239816547046,0
"Jayageetha J1, 2018, J MED SYST",0.0016153081510934392,1.5313136710670257e-09,0.0029799804774953875,0.09480224990429072,0.002979980477495388,0
"Mole Sss1, 2019, J MED SYST",0.0015531809145129223,3.236375577950105e-09,0.0029799766174620494,0.11084712380086634,0.0029799766174620494,0
"Al-Ma'Aitah M1, 2018, J MED SYST",0.0013046719681908548,2.624036121188661e-09,0.0023595187186912694,0.10086919466325757,0.0023595187186912694,0
"Das D1, 2018, J MED SYST",0.0018016898608349899,4.2451389555025804e-07,0.00821471619587071,0.1267471435433449,0.007228399037397678,0
"Kanmani P1, 2018, J MED SYST",0.0016153081510934392,1.320531536617338e-06,0.005480821623804046,0.13335653153712956,0.005497432566415678,0
