ND,DC,EC,LC,CC,BC,FR
,0.0028676771814829987,0.001870013192403142,0.1168731679796725,0.1314096524992598,0.1185858887608152,0
" Li D, 2018, ENERG BUILDINGS",0.00020483408439164277,2.6726115889716182e-09,0.0,0.09486427141830053,0.0,0
" Abdelrahman Mm, 2022, BUILD ENVIRON",0.00020483408439164277,2.6726115889716182e-09,0.0,0.09486427141830053,0.0,0
" Hochtl Johann, 2011, ELECTRONIC GOVERNMENT AND THE INFORMATION SYSTEMS PERSPECTIVE. PROCEEDINGS SECOND INTERNATIONAL CONFERENCE",0.00020483408439164277,2.597778270243503e-09,0.0,0.09305605855555343,0.0,0
" De Wolf C, 2020, SUSTAIN CITIES SOC",0.00020483408439164277,3.1595707175798164e-12,0.0,0.0700983559480221,0.0,0
" Masanet E, 2020, ASPEN GLOB CHANG I ",0.00020483408439164277,4.2779957076803833e-13,0.0,0.07160142557529003,0.0,0
" Rockel S, 2017, RENEW ENERG",0.00020483408439164277,5.805280861988977e-08,0.0,0.089810334995125,0.0,0
" Lissaman Pbs, 1979, J ENERGY",0.0006145022531749283,0.05139826368241035,0.01769390058072424,0.12057595890241794,0.011959209487392566,0
" Guo S, 2019, APPL ENERG",0.00020483408439164277,8.562556636067013e-12,0.0,0.08245646629621498,0.0,0
" Righter Rw, 1996, RENEW ENERG",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
" Beery Ja, 2015, ENVIRON SCI TECHNOL",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
" Madlener R, 2019, ENERGIES",0.00020483408439164277,0.0026586540056018114,0.0,0.09280486645756107,0.0,0
" Bak C, 2013, I0092 DTU WIND EN ",0.00020483408439164277,2.208474407136033e-05,0.0,0.10144415584415585,0.0,0
"Blanco-Rodriguez Fj, 2017, J FLUID MECH",0.00020483408439164277,5.731033721224685e-07,0.0,0.09897216534555112,0.0,0
" Knebel D E, 2007, ASHRAE STANDARDS COM",0.00020483408439164277,2.52880119606746e-08,0.0,0.09533480442890899,0.0,0
" Bortolotti P, 2019, TECH RE",0.00020483408439164277,1.3024495558804564e-07,0.0,0.10058306034571564,0.0,0
" Souza Ces, 2019, OCEAN ENG",0.00020483408439164277,1.1128585221604126e-06,0.0,0.10468083281514677,0.0,0
" Fonseca N, 2017, PROCEEDINGS OF THE ASME 36TH INTERNATIONAL CONFERENCE ON OCEAN",0.00020483408439164277,3.1583849819404336e-08,0.0,0.08873943469962738,0.0,0
" Burgio A, 2020, ENERGIES",0.00020483408439164277,2.0566679306466234e-09,0.0,0.08963225439256797,0.0,0
" Blazejczyk K, 2013, GEOGR POL",0.00040966816878328555,6.567332899736801e-10,0.004497117425031187,0.09629001400366857,0.004497117425031187,0
" Mizev A, 2013, EUR PHYS J-SPEC TOP",0.00020483408439164277,1.7068769855001052e-12,0.0,0.06007358460383674,0.0,0
" International Energy Agency (Iea), 2019, EBC ANN 67 EX EN FL",0.00020483408439164277,2.2981176228500297e-16,0.0,0.056404746224856445,0.0,0
" Blekas K, 2018, ROBOT AUTON SYST",0.00020483408439164277,0.0003810757643651743,0.0,0.11382872065098278,0.0,0
"Anderson F1, 2021, J PHYS CONF SER",0.003482179434657927,1.7698687328802572e-06,0.005323420051884587,0.08770164912154636,0.005323420051884587,0
" Allaerts D, 2015, PHYS FLUIDS",0.00040966816878328555,0.0007458162650954246,0.0009970013329544405,0.1270659274875719,0.0020587215779709132,0
" Liu Md, 2021, ENERG CONVERS MANAGE",0.00020483408439164277,1.1345059053813461e-07,0.0,0.11601435327107246,0.0,0
" Camacho Ef, 2013, MODEL PREDICTIVE CO",0.00020483408439164277,3.413564994552725e-06,0.0,0.11640716278404349,0.0,0
" Crespo A, 1996, J WIND ENG IND AEROD",0.00020483408439164277,0.0007199573518664959,0.0,0.11146882206543827,0.0,0
" Bureau Veritas, 2019, HYDROSTAR EXPERTS U",0.00020483408439164277,3.1583849819404336e-08,0.0,0.08873943469962738,0.0,0
" Maniaci Dc, 2012, THESIS PENNSYLVANI",0.00020483408439164277,3.7031239747260596e-05,0.0,0.12071310239101946,0.0,0
" Lei N, 2021, ENERG POLICY",0.00040966816878328555,1.004554383164297e-11,0.0004768690798955686,0.08353438392964084,0.0004768690798955686,0
" Moeck M, 1996, LBNL3947",0.00020483408439164277,9.010800567964687e-15,0.0,0.06905135712366162,0.0,0
" Okulov Vl, 2010, J FLUID MECH",0.00040966816878328555,0.0004237868638157964,0.0006998324020036224,0.10975966186290159,0.0007058792134343947,0
" The World Bank, 2020, POP TOT IN",0.00020483408439164277,9.617744260874932e-12,0.0,0.08351437808987804,0.0,0
" Schein J, 2006, RESULTS FIELD TESTI",0.00020483408439164277,1.3883358802864816e-10,0.0,0.08003672311753036,0.0,0
" Garrett Wd, 1967, J MAR RES",0.00020483408439164277,5.8390723026778256e-08,0.0,0.0909446545332613,0.0,0
" Blanco Mi, 2009, RENEW SUST ENERG REV",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
" O'Grady Np, 2002, CLIN INFECT DIS",0.00020483408439164277,0.0009668082491892344,0.0,0.1057007383029857,0.0,0
" [Anonymous], 2007, 19902 ISO E",0.00020483408439164277,7.348503064935862e-08,0.0,0.09780627066012221,0.0,0
" Madsen Ha, 2010, SCI MAK TORQUE WIND",0.00020483408439164277,1.112229019164228e-05,0.0,0.10937605018483253,0.0,0
" Shehabi A, 2018, ENVIRON RES LETT",0.00020483408439164277,9.617744260874932e-12,0.0,0.08351437808987804,0.0,0
"Durstewitz M1, 2021, J PHYS CONF SER",0.003482179434657927,0.00020442457555974988,0.006544618956985346,0.08502264019505398,0.006544618956985346,0
" Zoheir Ba, 2019, GONDWANA RES",0.00020483408439164277,1.1178481519539743e-05,0.0,0.10443004128430555,0.0,0
" Bickel T, 2019, PHYS REV FLUIDS",0.00020483408439164277,1.7068769855001052e-12,0.0,0.06007358460383674,0.0,0
" Peren Ji, 2015, BUILD ENVIRON",0.00020483408439164277,1.1722583980676655e-08,0.0,0.09172381399718177,0.0,0
" Ortega-Izquierdo M, 2020, RENEW ENERG",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
" Galinos C, 2016, J PHYS CONF SER",0.00020483408439164277,1.3612412082540025e-07,0.0,0.10826994300414716,0.0,0
" Walters Eh, 1991, THORAX",0.00020483408439164277,6.961872010461954e-10,0.0,0.07747853549380267,0.0,0
" Homb H R, 2013, THESIS NTN",0.00020483408439164277,5.309042932978693e-08,0.0,0.10005943719128528,0.0,0
" Ko Wh, 2020, BUILD ENVIRON",0.00020483408439164277,3.97327706386507e-09,0.0,0.09450800472346439,0.0,0
" Reades J, 2019, URBAN STUD",0.00020483408439164277,4.5633353943200775e-12,0.0,0.07969441224962863,0.0,0
" Vent-Axia, 2021, VENT AX VENT DES GU",0.00020483408439164277,1.0164581002536279e-09,0.0,0.09478691389185516,0.0,0
" Pan Y, 2018, BOUND-LAY METEOROL",0.00020483408439164277,0.0009668082491892344,0.0,0.1057007383029857,0.0,0
" Hulsman P, 2020, WIND ENERGY SCI",0.00020483408439164277,1.3281677685477864e-05,0.0,0.11423891423891423,0.0,0
"Mcwilliam Mk1, 2021, J PHYS CONF SER",0.005120852109791069,1.8485814068952715e-06,0.012942551673657697,0.11182884368700752,0.012632634545922852,0
" Barthelmie Rj, 2009, WIND ENERGY",0.00040966816878328555,0.00039134262000581197,0.0004465604533170606,0.11267280574211268,0.0002782567405447029,0
" Prospathopoulos Jm, 2011, WIND ENERGY",0.00020483408439164277,4.919126311572526e-05,0.0,0.10837569649477213,0.0,0
" Benoit C, 2009, GUID SOC LIF CYCL AS",0.00020483408439164277,9.263701130465406e-08,0.0,0.09400573816263262,0.0,0
" Arkon Ca, 2014, ARCHIT SCI REV",0.00020483408439164277,1.1345059053813461e-07,0.0,0.11601435327107246,0.0,0
" Chiesa G, 2021,  BIOCLIMATIC AP",0.00020483408439164277,6.528736838958447e-10,0.0,0.09624825030065257,0.0,0
" Benndorf Ga, 2018, APPL PHYS REV",0.00020483408439164277,2.323425688896374e-08,0.0,0.09504526428501898,0.0,0
" St Hilaire Ma, 2007, J PINEAL RES",0.00020483408439164277,3.264736098016788e-16,0.0,0.05549303779482807,0.0,0
" Huang Yt, 2021, J BUILD ENG",0.00020483408439164277,1.2515328795044264e-08,0.0,0.10552709508678641,0.0,0
" Lockley S W, 2008, SPECTRAL SENSITIVITY",0.00020483408439164277,7.127857020250209e-13,0.0,0.07085939881272044,0.0,0
" Muskulus M, 2014, J OCEAN WIND ENERGY",0.00040966816878328555,5.868891726338542e-06,0.004285402672271292,0.10587036193698089,0.0037661079316721542,0
" Lu Xy, 1996, J FLUID STRUCT",0.00020483408439164277,0.0003810757643651743,0.0,0.11382872065098278,0.0,0
" Inanici Mn, 2006, LIGHTING RES TECHNOL",0.00020483408439164277,9.065669630396694e-15,0.0,0.06412125510592748,0.0,0
" Velarde Mg, 2012, PHYSICOCHEMICAL HYDR",0.00020483408439164277,1.7068769855001052e-12,0.0,0.06007358460383674,0.0,0
" Sunnam R, 2014, CHALLENGES INTERPRET",0.00020483408439164277,1.3883358802864816e-10,0.0,0.08003672311753036,0.0,0
" Brock Td, 1981, ECOL MODEL",0.00020483408439164277,3.282950953174576e-12,0.0,0.07468828883959305,0.0,0
" [Anonymous], 2015, SIA 38",0.00020483408439164277,1.0349325710265272e-17,0.0,0.05070680002908215,0.0,0
" Gasparrini A, 2015, LANCET",0.00020483408439164277,1.2515328795044264e-08,0.0,0.10552709508678641,0.0,0
" Hertwich Eg, 2005, J IND ECOL",0.00020483408439164277,8.800447255136043e-12,0.0,0.07049310519096094,0.0,0
"[Anonymous], 1966, J COLLOID INTERF SCI",0.00020483408439164277,1.9397333162605193e-09,0.0,0.07782188003124352,0.0,0
" Busch Ne, 1968, Q J ROY METEOR SOC",0.00020483408439164277,1.2461330473394521e-05,0.0,0.10576943908832896,0.0,0
" Ruelens F, 2015, ENERGIES",0.00020483408439164277,8.787795807950864e-06,0.0,0.10504120317576436,0.0,0
" Khalid R, 2019, J ELECTRON PACKAGING",0.00020483408439164277,9.617744260874932e-12,0.0,0.08351437808987804,0.0,0
