ND,DC,EC,LC,CC,BC,FR
" [周桂霞 Zhou Guixia], 2010, [中华放射医学与防护杂志",0.000103306,6.61E-11,0,0.068935067,0,0
" [周淑琴 Zhou Shuqin], 2013, [中华放射医学与防护杂志",0.000103306,2.35E-05,0,0.091063029,0,0
" [宋玉芝 Song Yu-Zhi], 2011, [肿瘤",0.000103306,6.61E-11,0,0.068935067,0,0
" [张冬玲 Zhang Dongling], 2014, [护理学杂志",0.000103306,3.17E-10,0,0.068744141,0,0
" [何守玉 He Shouyu], 2014, [中国脊柱脊髓杂志",0.000103306,4.72E-07,0,0.087620841,0,0
" [何守玉 He Shouyu], 2015, [中国矫形外科杂志",0.000103306,4.72E-07,0,0.087620841,0,0
" [侯宇 Hou Yu], 2012, [解放军医学杂志",0.000103306,6.61E-11,0,0.068935067,0,0
" [徐铁锋 Xu Tiefeng], 2014, [中国现代医学杂志",0.000103306,1.38E-10,0,0.068579525,0,0
" [毛克亚 Mao Ke-Ya], 2009, [中华创伤骨科杂志",0.000103306,3.22E-08,0,0.079042346,0,0
" [杜进涛 Du Jintao], 2010, [四川大学学报. 医学版",0.000103306,3.34E-28,0,0.054281997,0,0
" [李硕丰 Li Shuofeng], 2012, [实用放射学杂志",0.000103306,4.66E-10,0,0.113303837,0,0
" [Anonymous], 1950, PRINCIPLES PSYCHO",0.000103306,0.001170165,0,0.100182149,0,0
" [Anonymous], 1971, AM J SURG",0.000103306,4.66E-10,0,0.113303837,0,0
" [Anonymous], 1988, J CLIN EPIDEMIOL",0.000103306,2.54E-10,0,0.089039332,0,0
" [Anonymous], 1989, OUTDOOR ADVENTURE P",0.000103306,1.03E-09,0,0.115328711,0,0
" [Anonymous], 1991, OPHTHALMOLOGY",0.000103306,4.68E-10,0,0.114548079,0,0
" [Anonymous], 1994, HDB QUALITATIVE RE",0.000103306,2.92E-13,0,0.095807435,0,0
" [Anonymous], 1996, J NERV MENT DIS",0.000103306,0.001170165,0,0.100182149,0,0
" [Anonymous], 1997, AM J RESPIR CRIT CARE MED",0.000103306,1.11E-12,0,0.079996033,0,0
" [Anonymous], 1998, WKLY EPIDEMIOL REC",0.000103306,4.66E-10,0,0.113301185,0,0
" [Anonymous], 1999, CIRCULATION",0.000103306,2.54E-10,0,0.089039332,0,0
" [Anonymous], 2001, PRACT GUID TREATM P",0.000103306,1.79E-16,0,0.058588549,0,0
" [Anonymous], 2001, TRAUMATIC RELATIONS",0.000103306,0.001170165,0,0.100182149,0,0
" [Anonymous], 2002, NIH CONSENS STATE SC",0.000103306,7.94E-07,0,0.083294612,0,0
" [Anonymous], 2004, DEV MANAGEMENT",0.000103306,2.92E-13,0,0.095807435,0,0
" [Anonymous], 2004, J J ISLAMIC SOCIAL R",0.000103306,2.92E-13,0,0.095807435,0,0
" [Anonymous], 2005, OXFORD ADV DICT",0.000103306,4.63E-10,0,0.115833812,0,0
" [Anonymous], 2008, HARV HEART LETT",0.000103306,7.32E-16,0,0.075938245,0,0
