ND,DC,EC,LC,CC,BC,FR
" *En, 1996, 50170 E",0.000144217,0.000799587,0,0.123413723,0,0
" [刘文光 Liu Wenguang], 2012, [工程设计学报",0.000144217,2.42E-09,0,0.097029232,0,0
" [刘飞 Liu Fei], 2017, [西北工业大学学报",0.000144217,3.95E-09,0,0.086834559,0,0
" [丁志伟 Ding Zhiwei], 2016, [地理科学进展",0.000144217,4.53E-07,0,0.11873491,0,0
" [周明涛 Zhou Mingtao], 2013, [水土保持研究",0.000144217,9.32E-06,0,0.111717982,0,0
" [傅天宇 Fu Tianyu], 2016, [信号处理",0.000144217,1.67E-08,0,0.099989906,0,0
" [唐佳 Tang Jia], 2018, [电力系统自动化",0.000144217,8.74E-09,0,0.096481098,0,0
" [唐成华 Tang Chenghua], 2015, [计算机研究与发展",0.000144217,3.10E-07,0,0.109696097,0,0
" [唐朝生 Tang Chaosheng], 2008, [岩土工程学报",0.000144217,9.32E-06,0,0.111717982,0,0
" [居鹤华 Ju Hehua], 2012, [控制工程",0.000144217,3.57E-09,0,0.086812815,0,0
" [姜岚 Jiang Lan], 2017, [地震工程与工程振动",0.000144217,2.75E-05,0,0.113180446,0,0
" [姜岚 Jiang Lan], 2019, [空间结构",0.000144217,2.75E-05,0,0.113180446,0,0
" [姜杰 Jiang Jie], 2018, [红外技术",0.000144217,1.67E-08,0,0.099989906,0,0
" [姚磊 Yao Lei], 2013, [电网技术",0.000144217,3.16E-10,0,0.094601416,0,0
" [宋相法 Song Xiangfa], 2012, [电子与信息学报",0.000144217,5.54E-07,0,0.107212988,0,0
" [巫兆聪 Wu Zhaocong], 2013, [测绘学报",0.000144217,1.58E-06,0,0.115303391,0,0
" [叶万军 Ye Wanjun], 2012, [岩石力学与工程学报",0.000144217,9.32E-06,0,0.111717982,0,0
" [吕国庆 Lyu Guoqing], 2014, [地理科学",0.000144217,1.14E-07,0,0.11237339,0,0
" [史丽萍 Shi Liping], 2016, [运筹与管理",0.000144217,2.56E-09,0,0.091912886,0,0
" [张一鸣 Zhang Yiming], 2010, [分析仪器",0.000144217,6.35E-09,0,0.087461056,0,0
" [张天翼 Zhang Tianyi], 2014, [航空学报",0.000144217,1.26E-07,0,0.099871811,0,0
" [张桂梅 Zhang Guimei], 2016, [模式识别与人工智能",0.000144217,6.99E-09,0,0.088422449,0,0
" [张紫琼 Zhang Ziqiong], 2010, [管理科学学报",0.000144217,1.78E-08,0,0.099633594,0,0
" [张红英 Zhang Hongying], 2006, [光电工程",0.000144217,6.99E-09,0,0.088422449,0,0
" [张锡哲 Zhang Xizhe], 2015, [东北大学学报. 自然科学版",0.000144217,5.21E-08,0,0.10058751,0,0
" [张超华 Zhang Chaohua], 2017, [固体力学学报",0.000144217,3.22E-07,0,0.107675823,0,0
" [张齐齐 Zhang Qiqi], 2015, [水文地质工程地质",0.000144217,9.32E-06,0,0.111717982,0,0
" [张莹瑞 Zhang Yingrui], 2006, [心理科学进展",0.000144217,8.69E-07,0,0.110800403,0,0
" [伍颖 Wu Ying], 2014, [系统工程理论与实践",0.000144217,1.55E-06,0,0.114070443,0,0
" [侯明才 Hou Mingcai], 2016, [地质学报",0.000144217,6.29E-09,0,0.088882622,0,0
" [侯淑鹏 Hou Shupeng], 2016, [长江科学院院报",0.000144217,9.32E-06,0,0.111717982,0,0
" [律方成 Lu Fangcheng], 2014, [电工技术学报",0.000144217,7.18E-07,0,0.118572479,0,0
" [徐自国 Xu Ziguo], 2008, [土木工程学报",0.000144217,5.35E-07,0,0.10588361,0,0
" [温忠麟 Wen Zhonglin], 2014, [心理学报",0.000144217,1.02E-07,0,0.112329699,0,0
" [温旭辉 Wen Xuhui], 2007, [电工技术学报",0.000144217,6.35E-09,0,0.087461056,0,0
" [曹胜涛 Cao Shengtao], 2019, [工程力学",0.000144217,5.35E-07,0,0.10588361,0,0
" [梁永奕 Liang Yongyi], 2018, [心理学报",0.000144217,8.69E-07,0,0.110800403,0,0
" [时勘 Shi Kan], 2006, [心理科学进展",0.000144217,3.45E-13,0,0.067448081,0,0
" [杨悦舒 Yang Yueshu], 2015, [长江科学院院报",0.000144217,9.32E-06,0,0.111717982,0,0
" [李丽敏 Li Limin], 2019, [信息与控制",0.000144217,5.35E-07,0,0.10588361,0,0
" [李兵 Li Bing], 2009, [科学学研究",0.000144217,2.73E-09,0,0.084047466,0,0
" [李慧 Li Hui], 2015, [测绘学报",0.000144217,1.58E-06,0,0.115303391,0,0
" [李文彬 Li Wenbin], 2017, [电子学报",0.000144217,8.28E-09,0,0.091060712,0,0
" [李柏洲 Li Baizhou], 2014, [哈尔滨工程大学学报",0.000144217,1.14E-07,0,0.11237339,0,0
" [李继磊 Li Ji-Lei], 2009, [地质通报",0.000144217,6.29E-09,0,0.088882622,0,0
" [李秀磊 Li Xiulei], 2017, [电力系统保护与控制",0.000144217,8.74E-09,0,0.096481098,0,0
" [李玉民 Li Yumin], 2004, [交通运输工程学报",0.000144217,1.09E-11,0,0.071906337,0,0
" [李鸿 Li Hong], 2011, [新疆地质",0.000144217,6.29E-09,0,0.088882622,0,0
" [朱庆 Zhu Qing], 2014, [地球信息科学学报",0.000144217,7.18E-07,0,0.118572479,0,0
" [朱熀秋 Zhu Huangqiu], 2016, [江苏大学学报. 自然科学版",0.000144217,6.35E-09,0,0.087461056,0,0
