ND,DC,EC,LC,CC,BC,FR
"Srividya M1, 2018, J MED SYST",0.003044235,6.99E-07,0.016668016,0.140066309,0.015406791,0
"Kharazmi P1, 2018, J MED SYST",0.002112326,1.00E-06,0.00911281,0.139609517,0.008553663,0
"Maragatham G1, 2019, J MED SYST",0.003914016,5.54E-07,0.011745606,0.138266345,0.011343972,1
"Min Sd1, 2018, J MED SYST",0.002422962,3.66E-12,0.004716243,0.091750127,0.004716243,0
"Vijay Saa1, 2018, J MED SYST",0.00180169,0.00048581,0.007706316,0.139105184,0.008900668,0
"Vargas Br1, 2019, J MED SYST",0.000807654,2.40E-09,0.001390887,0.097656274,0.001382512,0
"Chowdhury Dp1, 2018, J MED SYST",0.006212724,2.82E-06,0.013347615,0.137149479,0.013387342,0
"Sousa-Pinto B1, 2018, J MED SYST",0.00180169,1.63E-12,0.003476207,0.09071491,0.003476207,0
"Yi Hb1, 2019, J MED SYST",0.002733598,1.58E-06,0.005502385,0.125304581,0.005335779,0
"Zhou Lj1, 2018, J MED SYST",0.001925944,0.000173983,0.003551084,0.129767731,0.003615994,0
"Saba T1, 2019, J MED SYST",0.004224652,1.14E-05,0.037868744,0.151251186,0.044275034,0
"Garcia Y1, 2019, J MED SYST",0.001242545,5.17E-06,0.004458148,0.142822918,0.003976944,0
"Mohammed Ki1, 2019, J MED SYST",0.015718191,0.308933065,0.044268049,0.160412992,0.054878067,0
"Cheung Dst1, 2019, J MED SYST",0.001677435,4.36E-12,0.004044819,0.088556825,0.00370598,0
"Ramani Dr1, 2019, J MED SYST",0.003665507,3.15E-08,0.008801861,0.123027065,0.008623501,0
"Rajeev R1, 2019, J MED SYST",0.003541252,6.99E-07,0.02315218,0.135873648,0.022701193,0
"Alonso Sg1, 2019, J MED SYST",0.004224652,4.06E-10,0.009161458,0.100392313,0.008400338,0
"Liang P1, 2019, J MED SYST",0.000621272,2.60E-09,0.001118012,0.115739442,0.001118012,0
"Wutthisirisart P1, 2018, J MED SYST",0.002547217,1.29E-06,0.005886862,0.10174527,0.005912992,0
"Ruisoto P1, 2019, J MED SYST",0.001615308,4.21E-17,0.003104046,0.072179049,0.003104046,0
"Haider Ns1, 2019, J MED SYST",0.002112326,1.35E-07,0.007628209,0.134313537,0.006911997,0
"Zhang Xh1, 2019, J MED SYST",0.001366799,1.14E-08,0.002273176,0.116415816,0.00225923,0
"Hussien Hm1, 2019, J MED SYST",0.007455268,0.064896336,0.037991601,0.1527729,0.046126755,0
"Crepaldi Ny1, 2018, J MED SYST",0.002360835,7.53E-07,0.004523503,0.112684733,0.004522124,0
"Alsalem Ma21, 2018, J MED SYST",0.012549702,0.131782311,0.047512677,0.164374049,0.055880224,0
"Albahri As1, 2018, J MED SYST",0.020377734,0.34837335,0.088277121,0.159810959,0.102650231,0
"Liu Dy1, 2018, J MED SYST",0.001925944,0.000724031,0.008230399,0.152633825,0.00792324,0
"Jayageetha J1, 2018, J MED SYST",0.001615308,1.53E-09,0.00297998,0.09480225,0.00297998,0
"Mole Sss1, 2019, J MED SYST",0.001553181,3.24E-09,0.002979977,0.110847124,0.002979977,0
"Al-Ma'Aitah M1, 2018, J MED SYST",0.001304672,2.62E-09,0.002359519,0.100869195,0.002359519,0
"Das D1, 2018, J MED SYST",0.00180169,4.25E-07,0.008214716,0.126747144,0.007228399,0
"Kanmani P1, 2018, J MED SYST",0.001615308,1.32E-06,0.005480822,0.133356532,0.005497433,0
"Clemente-Suarez Vj21, 2018, J MED SYST",0.00291998,6.23E-07,0.015044306,0.111662238,0.014789336,0
"Belinchon-Demiguel P1, 2019, J MED SYST",0.003292744,1.54E-08,0.004397052,0.093828513,0.004395459,0
"Wetzl M1, 2019, J MED SYST",0.001056163,1.11E-07,0.001987145,0.100688732,0.001987145,0
"Nogueira Dm1, 2019, J MED SYST",0.00180169,5.91E-07,0.003476207,0.111736652,0.003476207,0
"Carrion J1, 2018, J MED SYST",0.003354871,0.00011211,0.008177709,0.127496099,0.007864962,0
"Oung Qw1, 2018, J MED SYST",0.005342942,1.00E-05,0.019474315,0.14917931,0.018572223,0
"Goshvarpour A1, 2018, J MED SYST",0.002236581,0.000459769,0.016044485,0.149367582,0.014236097,0
"Mahajan R1, 2018, J MED SYST",0.002236581,4.57E-07,0.014560813,0.110409164,0.014306847,0
"Maniruzzaman M1, 2018, J MED SYST",0.002485089,9.06E-07,0.010942572,0.134078585,0.010471823,0
"Iqbal T1, 2018, J MED SYST",0.002609344,2.14E-06,0.005711086,0.137757504,0.005561432,0
"Tuwatananurak Jp1, 2019, J MED SYST",0.001180417,4.86E-08,0.019481271,0.129076752,0.020781495,0
"Zhang L1, 2019, J MED SYST",0.002236581,2.20E-06,0.005074238,0.140029753,0.005477586,0
"Khasha R1, 2019, J MED SYST",0.002422962,0.000333033,0.0054299,0.132576662,0.005497944,0
"Tian Hb1, 2019, J MED SYST",0.000559145,0.000170403,0.000691375,0.130871365,0.000690881,0
"Moreira Mwl1, 2018, J MED SYST",0.002360835,3.66E-06,0.006729035,0.134150102,0.006703984,0
"Karnan H1, 2019, J MED SYST",0.001677435,2.53E-06,0.003972243,0.123928827,0.003703065,0
"Ucar M1, 2019, J MED SYST",0.001863817,1.95E-07,0.003600245,0.120888942,0.003600245,0
"Blaya F21, 2018, J MED SYST",0.001988072,4.57E-09,0.02315755,0.122948127,0.023777728,0
"Liu H21, 2019, J MED SYST",0.002360835,0.000663873,0.005317643,0.127524382,0.00575372,0
"Chebouba L1, 2018, J MED SYST",0.001553181,1.22E-06,0.010911881,0.138107373,0.009240415,0
"Han Wh1, 2019, J MED SYST",0.000931909,4.34E-07,0.002006728,0.117537954,0.001829911,0
"Mustafa Ab1, 2019, J MED SYST",0.001988072,1.03E-06,0.004045565,0.124809057,0.003886412,0
"Dhevi Bl1, 2018, J MED SYST",0.001366799,3.30E-09,0.005147394,0.119543986,0.004919673,0
"Yu K1, 2018, J MED SYST",0.000497018,2.81E-06,0.000636449,0.125092288,0.000630642,0
"Ay B1, 2019, J MED SYST",0.002982107,1.97E-06,0.024083067,0.147500573,0.022531487,0
"Liu H31, 2019, J MED SYST",0.002174453,6.27E-07,0.007310021,0.131146472,0.006516969,0
"Liu Xx1, 2019, J MED SYST",0.001925944,3.31E-07,0.003274504,0.114293018,0.00320258,0
"Hernandez-Capistran J1, 2018, J MED SYST",0.001304672,8.29E-10,0.002483623,0.1052969,0.002483623,0
"Zapata Bc1, 2018, J MED SYST",0.002982107,2.09E-06,0.006581756,0.120305248,0.006300325,0
"Sudha S1, 2018, J MED SYST",0.002982107,2.87E-06,0.020199873,0.144960689,0.018995906,0
"Jahangiri A21, 2019, J MED SYST",0.004100398,6.19E-10,0.010838193,0.09141559,0.010557926,0
"Bi L1, 2019, J MED SYST",0.00180169,9.21E-07,0.013823922,0.136117242,0.013223354,0
