ND,DC,EC,LC,CC,BC,FR
 [Anonymous],0.000204834,1.13E-07,0,0.116014353,0,0
" [Anonymous], 1954, REV ECON STUD",0.000204834,8.80E-12,0,0.070493105,0,0
" [Anonymous], 1987, INSTRUMENTATION THE",0.000204834,3.86E-12,0,0.080770313,0,0
" [Anonymous], 1993, 199316 EN EUR COMM ",0.000204834,1.30E-07,0,0.10058306,0,0
" [Anonymous], 2000, FLUIDS 200 C EX",0.000204834,1.51E-05,0,0.102629864,0,0
" [Anonymous], 2001, 77262001 EN IS",0.000204834,6.97E-11,0,0.090944655,0,0
" [Anonymous], 2001, 77262001 ISO EN ISO",0.000204834,1.17E-12,0,0.079149171,0,0
" [Anonymous], 2001, STAND EP PROT CHAR ",0.000204834,2.67E-09,0,0.094864271,0,0
" [Anonymous], 2004, ENCY ENERG",0.000204834,0.049711498,0,0.113263578,0,0
" [Anonymous], 2005, VILLE DESERT BAS SA",0.000204834,6.64E-12,0,0.083195583,0,0
" [Anonymous], 2006, 14044 IS",0.000204834,4.94E-10,0,0.080687546,0,0
" [Anonymous], 2006, 140442006 IS",0.000409668,9.31E-08,0.1146527,0.095097103,0.1146527,0
" [Anonymous], 2007, 137862007 SN EN IS",0.000204834,2.30E-16,0,0.056404746,0,0
" [Anonymous], 2007, 19902 ISO E",0.000204834,7.35E-08,0,0.097806271,0,0
" [Anonymous], 2007, SN ISO 13786200",0.000204834,1.03E-17,0,0.0507068,0,0
" [Anonymous], 2012, 288022012 IS",0.000204834,1.55E-11,0,0.080107642,0,0
" [Anonymous], 2012, P 6 INT C THEOR PRA",0.000204834,2.60E-09,0,0.093056059,0,0
" [Anonymous], 2014, 1802014 SIA SWISS S",0.000204834,8.27E-10,0,0.094676622,0,0
" [Anonymous], 2014, FACEBOO",0.000204834,9.62E-12,0,0.083514378,0,0
" [Anonymous], 2014, MEASURING E GOVT EF",0.000204834,2.60E-09,0,0.093056059,0,0
" [Anonymous], 2014, P 15 ANN INT C DIG G",0.000204834,2.60E-09,0,0.093056059,0,0
" [Anonymous], 2014, REMAP 2030 RENEWABL",0.000204834,3.41E-06,0,0.116407163,0,0
" [Anonymous], 2015, RAUM EN GE",0.000204834,2.30E-16,0,0.056404746,0,0
" [Anonymous], 2015, SIA 38",0.000204834,1.03E-17,0,0.0507068,0,0
" [Anonymous], 2016, DNVGLST012",0.000204834,7.35E-08,0,0.097806271,0,0
" [Anonymous], 2016, EUROPEAN OFFSHORE W",0.000204834,1.25E-07,0,0.080631575,0,0
" [Anonymous], 2016, GRID INTEGRATED DIS",0.000204834,3.41E-06,0,0.116407163,0,0
