Epoch,Accuracy,TP,TN,FP,FN,TPR,TNR
1502,0.6979166865348816,98,170,36,80,0.550561797752809,0.8252427184466019
3502,0.7473958134651184,116,171,35,62,0.651685393258427,0.8300970873786407
5502,0.8072916865348816,140,170,36,38,0.7865168539325843,0.8252427184466019
7502,0.7916666865348816,134,170,36,44,0.7528089887640449,0.8252427184466019
9502,0.7526041865348816,121,168,38,57,0.6797752808988764,0.8155339805825242
1503,0.7597911357879639,120,171,39,53,0.6936416184971098,0.8142857142857143
3503,0.7545691728591919,122,167,43,51,0.7052023121387283,0.7952380952380952
5503,0.7571801543235779,116,174,36,57,0.6705202312138728,0.8285714285714286
7503,0.7389034032821655,111,172,38,62,0.6416184971098265,0.819047619047619
9503,0.8198433518409729,141,173,37,32,0.815028901734104,0.8238095238095238
1504,0.7581047415733337,131,173,46,51,0.7197802197802198,0.7899543378995434
3504,0.7556109428405762,120,183,36,62,0.6593406593406593,0.8356164383561644
5504,0.780548632144928,135,178,41,47,0.7417582417582418,0.8127853881278538
7504,0.7855361700057983,138,177,42,44,0.7582417582417582,0.8082191780821918
9504,0.7755610942840576,135,176,43,47,0.7417582417582418,0.8036529680365296
1505,0.728205144405365,112,172,35,71,0.6120218579234973,0.8309178743961353
3505,0.7743589878082275,132,170,37,51,0.7213114754098361,0.821256038647343
5505,0.7769230604171753,123,180,27,60,0.6721311475409836,0.8695652173913043
7505,0.764102578163147,125,173,34,58,0.6830601092896175,0.8357487922705314
9505,0.7435897588729858,111,179,28,72,0.6065573770491803,0.8647342995169082
